####################################################################
#                                                                  #
#	lexicon: all lexemes in biblical Hebrew                    #
#                                                                  #
####################################################################
#ident "@(#)lexicon	1.135 21/08/06"
# The spelling of proper names is that of the RSV
"BL"		sp=nega:vc=B.AL:gl=not
"BL/"		sp=nmpr:sm=pers:gn=m:vc=B.;L:gl=Bel
"BL>DN/"	sp=nmpr:sm=pers:gn=m:vc=B.AL\:>\:AD@N:gl=Baladan
"BL>CYR/"	sp=nmpr:sm=pers:gn=m:vc=B.;L\:>CAY.AR:gl=Belshazzar
"BLG["		sp=verb:vc=B.@LAG:gl=gleam
"BLGH/"		sp=nmpr:sm=pers:gn=m:vc=B.IL\:G.@H:gl=Bilgah
"BLGJ/"		sp=nmpr:sm=pers:gn=m:vc=B.IL\:G.AJ:gl=Bilgai
"BLDD/"		sp=nmpr:sm=pers:gn=m:vc=B.IL\:D.AD:gl=Bildad
"BLH["		sp=verb:vc=B.@L@H:gl=be worn out
"BLH/"		sp=adjv:rt=BLH:vc=B.@LEH:gl=worn out
"BLH=/"		sp=nmpr:sm=topo:vc=B.@L@H:gl=Balah
"BLHH/"		sp=subs:vc=B.AL.@H@H:gl=terror
"BLHH=/"	sp=nmpr:sm=pers:gn=f:vc=B.IL\:H@H:gl=<mother of Dan Naphtali>
"BLHH==/"	sp=nmpr:sm=topo:vc=B.IL\:H@H:gl=Bilhah
"BLHN/"		sp=nmpr:sm=pers:gn=m:vc=B.IL\:H@N:gl=Bilhan
"BLWJ/"		sp=subs:vc=B.\:LOWJ:gl=waste
"BLVC>YR/"	sp=nmpr:sm=pers:gn=m:vc=B.;L\:V\:CA>Y.AR:gl=Belteshazzar
"BLJ/"		sp=subs:ls=ppre:gn=m:vc=B.\:LIJ:gl=destruction
"BLJL/"		sp=subs:gn=m:vc=B.\:LIJL:gl=mash
"BLJ<L/"	sp=subs:gn=m:vc=B.\:LIJ.A<AL:gl=wickedness
"BLL["		sp=verb:fc=22:vc=B.@LAL:gl=moisten, confound
"BLM["		sp=verb:vc=B.@LAM:gl=curb?
"BLS["		sp=verb:vc=B.@LAS:gl=nip
"BL<["		sp=verb:vc=B.@LA<:gl=swallow
"BL</"		sp=subs:fc=seg:gn=m:vc=B.ELA<:gl=confusion
"BL<=["		sp=verb:fc=3g:gl=confuse
"BL<=/"		sp=subs:fc=seg:gn=m:vc=B.ELA<:gl=what is swallowed
"BL<==["	sp=verb:fc=3g:gl=communicate
"BL<==/"	sp=nmpr:fc=seg:sm=pers:gn=m:vc=B.ELA<:gl=Bela
"BL<===/"	sp=nmpr:fc=seg:sm=topo:vc=B.ELA<:gl=Bela
"BL<DJ"		sp=prep:vc=B.IL\:<\:AD;J:gl=without
"BL<J/"		sp=adjv:ls=gntl:vc=B.AL\:<IJ:gl=Belaite
"BL<M/"		sp=nmpr:sm=pers:gn=m:vc=B.IL\:<@M:gl=<prophet>
"BL<M=/"	sp=nmpr:sm=topo:vc=B.IL\:<@M:gl=Bileam
"BLQ["		sp=verb:vc=B.@LAQ:gl=waste
"BLQ/"		sp=nmpr:sm=pers:gn=m:vc=B.@L@Q:gl=Balak
"BLCN/"		sp=nmpr:sm=pers:gn=m:vc=B.IL\:C@N:gl=Bilshan
"BLT/"		sp=subs:ls=ppre:rt=BLH:vc=B.;LET:gl=failure
"BMH/"		sp=subs:vc=B.@M@H:gl=high place
"BMHL/"		sp=nmpr:sm=pers:gn=m:vc=B.IM\:H@L:gl=Bimhal
"BMW"		sp=prep:vc=B.\:MOW:gl=in
"BMWT/"		sp=nmpr:sm=topo:vc=B.@MOWT:gl=Bamoth
"BMWT_B<L/"	sp=nmpr:sm=topo:vc=B.@MOWT_B.A<AL:gl=Bamoth Baal
"BN/"		sp=subs:gn=m:rt=BN:vc=B.;N:gl=son
"BN=/"		sp=nmpr:sm=pers:gn=m:vc=B.;N:gl=Ben
"BN_>WNJ/"	sp=nmpr:sm=pers:gn=m:vc=B.EN_>OWNIJ:gl=Ben-Oni
"BN_HDD/"	sp=nmpr:sm=pers:gn=m:vc=B.EN_H\:ADAD:gl=Ben-Hadad
"BN_HNM/"	sp=nmpr:sm=topo:vc=B.EN_HIN.OM:gl=the Valley of Ben Hinnom
"BN_ZWXT/"	sp=nmpr:sm=pers:gn=m:vc=B.EN_ZOWX;T:gl=Ben-Zoheth
"BN_XJL/"	sp=nmpr:sm=pers:gn=m:vc=B.EN_XAJIL:gl=Ben-Hail
"BN_XNN/"	sp=nmpr:sm=pers:gn=m:vc=B.EN_X@N@N:gl=Ben-Hanan
"BN_<MJ/"	sp=nmpr:sm=pers:gn=m:vc=B.EN_<AM.IJ:gl=Ben-Ammi
"BNH["		sp=verb:vc=B.@N@H:gl=build
"BNWJ/"		sp=nmpr:sm=pers:gn=m:vc=B.IN.W.J:gl=Binnui
"BNJ/"		sp=nmpr:sm=pers:gn=m:vc=B.@NIJ:gl=Bani
"BNJ=/"		sp=nmpr:sm=pers:gn=m:vc=B.UN.IJ:gl=Bunni
"BNJ_BRQ/"	sp=nmpr:sm=topo:vc=B.\:N;J_B\:RAQ:gl=Bene Berak
"BNJ_J<QN/"	sp=nmpr:sm=topo:vc=B.\:N;J_JA<\:AQ@N:gl=Bene Jaakan
"BNJH/"		sp=subs:vc=B.IN\:J@H:gl=building
"BNJH=/"	sp=nmpr:sm=pers:gn=m:vc=B.\:N@J@H:gl=Benaiah
"BNJHW/"	sp=nmpr:sm=pers:gn=m:vc=B.\:N@J@HW.:gl=Benaiah
"BNJM/"		sp=subs:gn=m:vc=B.;NAJIM:gl=<space between>
"BNJMN/"	sp=nmpr:sm=pers,gens,topo:rt=BN:vc=B.IN\:J@MIN:gl=Benjamin
"BNJN/"		sp=subs:gn=m:vc=B.IN\:J@N:gl=building
"BNJNW/"	sp=nmpr:sm=pers:gn=m:vc=B.\:NIJNW.:gl=Beninu
"BN<>/"		sp=nmpr:sm=pers:gn=m:vc=B.IN\:<@>:gl=Binea
"BSWDJH/"	sp=nmpr:sm=pers:gn=m:vc=B.\:SOWD\:J@H:gl=Besodeiah
"BSJ/"		sp=nmpr:sm=pers:gn=m:vc=B.;SAJ:gl=Besai
"BSR/"		sp=subs:fc=seg:gn=m:vc=B.OSER:gl=grape
"B<D/"		sp=subs:ls=ppre:vc=B.A<AD:gl=distance
"B<H["		sp=verb:vc=B.@<@H:gl=inquire
"B<WR/"		sp=nmpr:sm=pers:gn=m:vc=B.\:<OWR:gl=Beor
"B<WT/"		sp=subs:rt=B<T:vc=B.I<W.T:gl=terror
"B<Z/"		sp=nmpr:sm=pers:gn=m:vc=B.O<AZ:gl=Boaz
"B<V["		sp=verb:fc=2g:gl=kick
"B<JM/"		sp=subs:vc=B.A<\:J@M:gl=<uncertain>
"B<JR/"		sp=subs:gn=m:vc=B.\:<IJR:gl=cattle
"B<L["		sp=verb:fc=2g:vc=B.@<AL:gl=own
"B<L/"		sp=subs:gn=m:vc=B.A<AL:gl=lord, baal
"B<L=/"		sp=nmpr:sm=topo:vc=B.@<AL:gl=Baalath
"B<L==/"	sp=nmpr:sm=pers:gn=m:vc=B.A<AL:gl=Baal
"B<L_BRJT/"	sp=nmpr:sm=pers:gn=m:vc=B.A<AL_B.\:RIJT:gl=Baal-Berith
"B<L_GD/"	sp=nmpr:sm=topo:vc=B.A<AL_G.@D:gl=Baal Gad
"B<L_HMWN/"	sp=nmpr:sm=topo:vc=B.A<AL_H@MOWN:gl=Baal Hamon
"B<L_XNN/"	sp=nmpr:sm=pers:gn=m:vc=B.A<AL_X@N@N:gl=Baal-Hanan
"B<L_XYWR/"	sp=nmpr:sm=topo:vc=B.A<AL_X@YOWR:gl=Baal Hazor
"B<L_XRMWN/"	sp=nmpr:sm=topo:vc=B.A<AL_XER\:MOWN:gl=Baal Hermon
"B<L_M<WN/"	sp=nmpr:sm=topo:vc=B.A<AL_M\:<OWN:gl=Baal Meon
"B<L_P<WR/"	sp=nmpr:sm=pers:gn=m:vc=B.A<AL_P.\:<OWR:gl=Baal Peor
"B<L_PRYJM/"	sp=nmpr:sm=topo:vc=B.A<AL_P.\:R@YIJM:gl=Baal Perazim
"B<L_YPN/"	sp=nmpr:sm=topo:vc=B.A<AL_Y\:PON:gl=Baal Zephon
"B<L_CLCH/"	sp=nmpr:sm=topo:vc=B.A<AL_C@LIC@H:gl=Baal Shalishah
"B<L_TMR/"	sp=nmpr:sm=topo:vc=B.A<AL_T.@M@R:gl=Baal Tamar
"B<LH/"		sp=subs:vc=B.A<\:AL@H:gl=mistress
"B<LH=/"	sp=nmpr:sm=topo:vc=B.A<\:AL@H:gl=Baalah
"B<LWT/"	sp=nmpr:sm=topo:vc=B.\:<@LOWT:gl=Bealoth
"B<LJ_JHWDH/"	sp=nmpr:sm=topo:vc=B.A<\:AL;J_J\:HW.D@H:gl=Baalah of Judah
"B<LJD</"	sp=nmpr:sm=pers:gn=m:vc=B.\:<EL\:J@D@<:gl=Beeliada
"B<LJH/"	sp=nmpr:sm=pers:gn=m:vc=B.\:<AL\:J@H:gl=Bealiah
"B<LJS/"	sp=nmpr:sm=pers:gn=m:vc=B.A<\:ALIJS:gl=Baalis
"B<LT/"		sp=nmpr:sm=topo:vc=B.A<\:ALAT:gl=Baalath
"B<LT_B>R/"	sp=nmpr:sm=topo:vc=B.A<\:ALAT_B.\:>;R:gl=Baalath Beer
"B<N/"		sp=nmpr:sm=topo:vc=B.\:<ON:gl=Beon
"B<N>/"		sp=nmpr:sm=pers:gn=m:vc=B.A<\:AN@>:gl=Baana
"B<NH/"		sp=nmpr:sm=pers:gn=m:vc=B.A<\:AN@H:gl=Baanah
"B<R["		sp=verb:vc=B.@<AR:gl=burn
"B<R/"		sp=adjv:vc=B.A<AR:gl=stupid
"B<R=["		sp=verb:fc=2g:gl=be stupid
"B<R>/"		sp=nmpr:sm=pers:gn=f:vc=B.A<\:AR@>:gl=Baara
"B<RH/"		sp=subs:vc=B.\:<;R@H:gl=burning
"B<FJH/"	sp=nmpr:sm=pers:gn=m:vc=B.A<\:AF;J@H:gl=Baaseiah
"B<C>/"		sp=nmpr:sm=pers:gn=m:vc=B.A<\:C@>:gl=Baasha
"B<CTRH/"	sp=nmpr:sm=topo:vc=B.\:<EC\:T.\:R@H:gl=Be Eshtarah
"B<T["		sp=verb:vc=B.@<AT:gl=terrify
"B<TH/"		sp=subs:vc=B.\:<@T@H:gl=terror
"BY/"		sp=subs:gn=m:vc=B.OY:gl=silt
"BYH/"		sp=subs:vc=B.IY.@H:gl=marshland
"BYWR/"		sp=adjv:rt=BYR:vc=B.@YW.R:gl=fortified
"BYJ/"		sp=nmpr:sm=pers:gn=m:vc=B.;Y@J:gl=Bezai
"BYJR/"		sp=subs:gn=m:rt=BYR:vc=B.@YIJR:gl=vintage
"BYJR=/"	sp=subs:rt=BYR:vc=B.@YIJR:gl=forest
"BYL/"		sp=subs:vc=B.@Y@L:gl=onion
"BYL>L/"	sp=nmpr:sm=pers:gn=m:vc=B.\:YAL\:>;L:gl=Bezalel
"BYLWT/"	sp=nmpr:sm=pers:gn=m:vc=B.AY\:LW.T:gl=Bazluth
"BY<["		sp=verb:vc=B.@YA<:gl=cut off
"BY</"		sp=subs:fc=seg:vc=B.EYA<:gl=profit
"BYQ["		sp=verb:gl=swell
"BYQ/"		sp=subs:fc=ae:gn=m:vc=B.@Y;Q:gl=dough
"BYQT/"		sp=nmpr:sm=topo:vc=B.@Y\:QAT:gl=Bozkath
"BYR["		sp=verb:vc=B.@YAR:gl=gather grapes
"BYR/"		sp=subs:fc=seg:gn=m:vc=B.EYER:gl=ore
"BYR=["		sp=verb:gl=be impossible
"BYR=/"		sp=nmpr:fc=seg:sm=topo:vc=B.EYER:gl=<place of refuge>
"BYR==["	sp=verb:vc=B.@YAR:gl=humble
"BYR==/"	sp=nmpr:sm=pers:gn=m:vc=B.EYER:gl=Bezer
"BYRH/"		sp=subs:vc=B.@Y\:R@H:gl=<uncertain>
"BYRH=/"	sp=nmpr:sm=topo:vc=B.@Y\:R@H:gl=Bozrah
"BYRWN/"	sp=subs:gn=m:rt=BYR:vc=B.IY.@ROWN:gl=<uncertain>
"BYRT/"		sp=subs:fc=seg:vc=B.AY.ORET:gl=drought
"BQBWQ/"	sp=nmpr:sm=pers:gn=m:vc=B.AQ\:B.W.Q:gl=Bakbuk
"BQBQ/"		sp=subs:gn=m:vc=B.AQ\:B.UQ:gl=bottle
"BQBQJH/"	sp=nmpr:sm=pers:gn=m:vc=B.AQ\:B.UQ\:J@H:gl=Bakbukiah
"BQBQR/"	sp=nmpr:sm=pers:gn=m:vc=B.AQ\:B.AQ.AR:gl=Bakbuk
"BQJ/"		sp=nmpr:sm=pers:gn=m:vc=B.UQ.IJ:gl=Bukki
"BQJHW/"	sp=nmpr:sm=pers:gn=m:vc=B.UQ.IJ.@HW.:gl=Bukkiah
"BQJ</"		sp=subs:fc=ai:vc=B.@QIJ<A:gl=breach
"BQ<["		sp=verb:fc=3g:vc=B.@QA<:gl=split
"BQ</"		sp=subs:fc=seg:gn=m:vc=B.EQA<:gl=half-shekel
"BQ<H/"		sp=subs:vc=B.IQ\:<@H:gl=valley
"BQ<T_>WN/"	sp=nmpr:sm=topo:vc=B.IQ\:<AT_>@WEN:gl=the Valley of Aven
"BQQ["		sp=verb:vc=B.@QAQ:gl=lay waste
"BQR["		sp=verb:gl=attend to
"BQR/"		sp=subs:vc=B.@Q@R:gl=cattle
"BQR=/"		sp=subs:ls=padv:gn=m:vc=B.OQER:gl=morning
"BQRH/"		sp=subs:vc=B.AQ.@R@H:gl=care
"BQRT/"		sp=subs:fc=seg:vc=B.IQ.ORET:gl=punishment
"BQC["		sp=verb:vc=B.@QAC:gl=seek
"BQCH/"		sp=subs:rt=BQC:vc=B.AQ.@C@H:gl=request
"BR/"		sp=subs:gn=m:rt=BRR:vc=B.AR:gl=grain
"BR=/"		sp=subs:gn=m:rt=BRR:vc=B.OR:gl=cleanness
"BR==/"		sp=adjv:rt=BRR:vc=B.AR:gl=pure
"BR===/"	sp=subs:gn=m:rt=BR:vc=B.AR:gl=son
"BR====/"	sp=subs:gn=m:rt=BRR:vc=B.AR:gl=open field
"BR=====/"	sp=subs:gn=m:rt=BRR:vc=B.OR:gl=potash
"BR>["		sp=verb:vc=B.@R@>:gl=create
"BR>=["		sp=verb:vc=B.@R@>:gl=fatten
"BR>==["	sp=verb:vc=B.@R@>:gl=cut down
"BR>DK_BL>DN/"	sp=nmpr:sm=pers:gn=m:vc=B.\:RO>DAK\:_B.AL\:>\:AD@N:gl=Merodach-Baladan
"BR>JH/"	sp=nmpr:sm=pers:gn=m:vc=B.\:R@>J@H:gl=Beraiah
"BRBR/"		sp=subs:vc=B.AR\:B.UR:gl=cuckoo
"BRD["		sp=verb:vc=B.@RAD:gl=hail
"BRD/"		sp=subs:gn=m:vc=B.@R@D:gl=hail
"BRD=/"		sp=adjv:rt=BRD:vc=B.@ROD:gl=speckled
"BRD==/"	sp=nmpr:fc=seg:sm=topo:vc=B.ERED:gl=Bered
"BRD===/"	sp=nmpr:fc=seg:sm=pers:gn=m:vc=B.ERED:gl=Bered
"BRH["		sp=verb:vc=B.@R@H:gl=eat
"BRH=["		sp=verb:vc=B.@R@H:gl=<uncertain>
"BRWK/"		sp=nmpr:fc=ptcp:sm=pers:gn=m:vc=B.@RW.K\::gl=Baruch
"BRWR/"		sp=adjv:rt=BRR:vc=B.@RW.R:gl=pure
"BRWC/"		sp=subs:gn=m:vc=B.\:ROWC:gl=juniper
"BRWT/"		sp=subs:gn=f:rt=BRH:vc=B.@RW.T:gl=bread of consolation
"BRWT=/"	sp=subs:vc=B.\:ROWT:gl=juniper
"BRWTH/"	sp=nmpr:sm=topo:vc=B.;ROWT@H:gl=Berothah
"BRZJT/"	sp=nmpr:sm=pers:rt=BRZ:vc=B.IR\:ZAJIT:gl=Birzaith
"BRZL/"		sp=subs:gn=m:vc=B.AR\:ZEL:gl=iron
"BRZLJ/"	sp=nmpr:sm=pers:gn=m:vc=B.AR\:ZIL.AJ:gl=Barzillai
"BRX["		sp=verb:fc=3g:vc=B.@RAX:gl=run away
"BRXMJ/"	sp=adjv:ls=gntl:vc=B.AR\:XUMIJ:gl=Barhumite
"BRJ/"		sp=nmpr:sm=pers:gn=m:vc=B.;RIJ:gl=Beri
"BRJ>/"		sp=adjv:rt=BR>:vc=B.@RIJ>:gl=fat
"BRJ>H/"	sp=subs:vc=B.\:RIJ>@H:gl=what is created
"BRJH/"		sp=subs:vc=B.IR\:J@H:gl=bread of consolation
"BRJX/"		sp=subs:gn=m:vc=B.\:RIJXA:gl=bar
"BRJX=/"	sp=nmpr:sm=pers:gn=m:vc=B.@RIJXA:gl=Bariah
"BRJX==/"	sp=adjv:rt=BRX:vc=B.@RIJXA:gl=fleeing
"BRJM/"		sp=subs:vc=B.;RIJM:gl=<uncertain>
"BRJ<H/"	sp=nmpr:sm=pers:gn=m:vc=B.\:RIJ<@H:gl=Beriah
"BRJ<J/"	sp=adjv:ls=gntl:rt=BR<:vc=B.\:RIJ<IJ:gl=Beriite
"BRJT/"		sp=subs:gn=f:rt=BRH:vc=B.\:RIJT:gl=covenant
"BRJT=/"	sp=subs:gn=f:rt=BRR:vc=B.ORIJT:gl=alkaline salt
"BRK["		sp=verb:vc=B.@RAK\::gl=bless
"BRK/"		sp=subs:gn=f:vc=B.EREK\::gl=knee
"BRK=["		sp=verb:vc=B.@RAK\::gl=kneel
"BRK>L/"	sp=nmpr:sm=pers:gn=m:vc=B.ARAK\:>;L:gl=Barakel
"BRKH/"		sp=subs:vc=B.\:R@K@H:gl=blessing
"BRKH=/"	sp=subs:vc=B.\:R;K@H:gl=pool
"BRKH==/"	sp=nmpr:sm=pers:gn=m:vc=B.\:R@K@H:gl=Beracah
"BRKJH/"	sp=nmpr:sm=pers:gn=m:vc=B.EREK\:J@H:gl=Berekiah
"BRKJHW/"	sp=nmpr:sm=pers:gn=m:vc=B.EREK\:J@HW.:gl=Berekiah
"BRMJM/"	sp=subs:vc=B.\:ROMIJM:gl=two-coloured stuff
"BR</"		sp=nmpr:sm=pers:gn=m:vc=B.ERA<:gl=Bera
"BRQ["		sp=verb:gl=lighten
"BRQ/"		sp=subs:gn=m:vc=B.@R@Q:gl=lightning
"BRQ=/"		sp=nmpr:sm=pers:gn=m:vc=B.@R@Q:gl=Barak
"BRQWS/"	sp=nmpr:sm=pers:gn=m:vc=B.AR\:QOWS:gl=Barkos
"BRQNJM/"	sp=subs:vc=B.AR\:Q\:@NIJM:gl=<uncertain>
"BRQT/"		sp=subs:rt=BRQ:vc=B.@REQET:gl=beryl
"BRQT=/"	sp=subs:rt=BRQ:vc=B.@R\:QAT:gl=beryl
"BRR["		sp=verb:vc=B.@RAR:gl=purge
"BRC</"		sp=nmpr:sm=pers:gn=m:vc=B.IR\:CA<:gl=Birsha
"BRTJ/"		sp=nmpr:sm=topo:vc=B.;ROTAJ:gl=Berothai
"BFWR/"		sp=nmpr:sm=topo:vc=B.\:FOWR:gl=Besor
"BFM/"		sp=subs:fc=seg:gn=m:vc=B.OFEM:gl=balsam-tree
"BFMT/"		sp=nmpr:sm=pers:gn=f:vc=B.@F\:MAT:gl=Basemath
"BFR["		sp=verb:vc=B.@FAR:gl=announce
"BFR/"		sp=subs:gn=m:vc=B.@F@R:gl=flesh
"BFRH/"		sp=subs:vc=B.\:FOR@H:gl=report
"BCL["		sp=verb:vc=B.@CAL:gl=boil
"BCL/"		sp=adjv:rt=BCL:vc=B.@C;L:gl=cooked
"BCLM/"		sp=nmpr:sm=pers:gn=m:vc=B.IC\:L@M:gl=Bishlam
"BCN/"		sp=nmpr:sm=topo:vc=B.@C@N:gl=Bashan
"BCNH/"		sp=subs:vc=B.@C\:N@H:gl=shame
"BCS["		sp=verb:gl=draw farm-rent
"BCT/"		sp=subs:fc=seg:vc=B.OCET:gl=shame
"BT/"		sp=subs:gn=f:rt=BN:vc=B.AT:gl=daughter
"BT=/"		sp=subs:rt=BTT:vc=B.AT:gl=bath:co=unit
"BT_RBJM/"	sp=nmpr:sm=topo:vc=B.AT_RAB.IJM:gl=Bath Rabbim
"BT_CB</"	sp=nmpr:sm=pers:gn=f:vc=B.AT_CEBA<:gl=Bathsheba
"BT_CW</"	sp=nmpr:sm=pers:gn=f:vc=B.AT_CW.<A:gl=daughter of Shua
"BTH/"		sp=subs:vc=B.AT.@H:gl=gully
"BTH=/"		sp=subs:vc=B.@T@H:gl=<uncertain>
"BTW>L/"	sp=nmpr:sm=pers:gn=m:vc=B.\:TW.>;L:gl=<father of Laban>
"BTW>L=/"	sp=nmpr:sm=topo:vc=B.\:TW.>;L:gl=Bethuel
"BTWLH/"	sp=subs:vc=B.\:TW.L@H:gl=virgin
"BTWLJM/"	sp=subs:gn=f:vc=B.\:TW.LIJM:gl=virginity
"BTJH/"		sp=nmpr:sm=pers:gn=f:vc=B.IT\:J@H:gl=Bithiah
"BTQ["		sp=verb:vc=B.@TAQ:gl=slaughter
"BTR["		sp=verb:vc=B.@TAR:gl=cut
"BTR/"		sp=subs:fc=seg:gn=m:vc=B.ETER:gl=piece
"BTR=/"		sp=subs:fc=seg:gn=m:vc=B.ETER:gl=<uncertain>
"BTRWN/"	sp=subs:gn=m:vc=B.IT\:ROWN:gl=gully
"G>/"		sp=adjv:rt=G>H:vc=G.;>:gl=haughty
"G>H["		sp=verb:vc=G.@>@H:gl=be high
"G>H/"		sp=adjv:rt=G>H:vc=G.;>EH:gl=haughty
"G>H=/"		sp=subs:rt=G>H:vc=G.;>@H:gl=arrogance
"G>W>L/"	sp=nmpr:sm=pers:gn=m:vc=G.\:>W.>;L:gl=Geuel
"G>WH/"		sp=subs:vc=G.A>\:AW@H:gl=uproar
"G>WLJM/"	sp=subs:vc=G.\:>W.LIJM:gl=avenge
"G>WN/"		sp=subs:gn=m:rt=G>H:vc=G.@>OWN:gl=height
"G>WT/"		sp=subs:gn=f:rt=G>H:vc=G.;>W.T:gl=rise
"G>L["		sp=verb:fc=2>:vc=G.@>AL:gl=redeem
"G>L=["		sp=verb:vc=G.@>AL:gl=pollute
"G>LH/"		sp=subs:vc=G.\:>UL.@H:gl=right of buying back
"G>LJM/"	sp=subs:vc=G.O>\:ALIJM:gl=defilement
"GB/"		sp=subs:gn=m:rt=GBB:vc=G.AB:gl=curve
"GB=/"		sp=subs:rt=GWB:vc=G.;B:gl=pit
"GB>/"		sp=subs:gn=m:rt=GB>:vc=G.EBE>:gl=ditch
"GBH["		sp=verb:fc=3h:vc=G.@BAH.:gl=be high
"GBH/"		sp=adjv:rt=GBH:vc=G.@BOH.A:gl=high
"GBH=/"		sp=subs:gn=m:vc=G.OBAH.:gl=height
"GBH==/"	sp=adjv:rt=GBH:vc=G.@B;H.A:gl=tall
"GBH===/"	sp=subs:vc=G.;B@H:gl=swarm
"GBHWT/"	sp=subs:gn=f:vc=G.AB\:HW.T:gl=haughtiness
"GBWL/"		sp=subs:gn=m:vc=G.\:BW.L:gl=boundary
"GBWLH/"	sp=subs:vc=G.\:BW.L@H:gl=boundary
"GBWR/"		sp=subs:fc=io:gn=m:vc=G.IB.OWR:gl=vigorous
"GBWRH/"	sp=subs:vc=G.\:BW.R@H:gl=strength
"GBX/"		sp=adjv:fc=ie:vc=G.IB.;XA:gl=bald
"GBXT/"		sp=subs:vc=G.AB.AXAT:gl=bareness
"GBJ/"		sp=subs:gn=m:rt=GBH:vc=G.OBAJ:gl=swarm
"GBJ=/"		sp=nmpr:sm=pers:gn=m:rt=GBB:vc=G.AB.AJ:gl=Gabbai
"GBJM/"		sp=nmpr:sm=topo:vc=G.;BIJM:gl=Gebim
"GBJ</"		sp=subs:fc=ai:gn=m:vc=G.@BIJ<A:gl=cup
"GBJR/"		sp=subs:gn=m:vc=G.\:BIJR:gl=lord
"GBJRH/"	sp=subs:vc=G.\:BIJR@H:gl=mistress
"GBJC/"		sp=subs:gn=m:rt=GBC:vc=G.@BIJC:gl=rock-crystal
"GBL["		sp=verb:vc=G.@BAL:gl=set border
"GBL/"		sp=nmpr:sm=topo:vc=G.\:B@L:gl=Gebal
"GBL=/"		sp=nmpr:sm=topo:vc=G.\:BAL:gl=<mountain>
"GBLJ/"		sp=adjv:ls=gntl:vc=G.IB\:LIJ:gl=Gebalite
"GBLT/"		sp=subs:rt=GBL:vc=G.AB\:LUT:gl=<uncertain>
"GBN/"		sp=adjv:fc=ie:vc=G.IB.;N:gl=hunched
"GBNH/"		sp=subs:vc=G.\:BIN.@H:gl=cheese
"GBNN/"		sp=subs:vc=G.AB\:NON:gl=knoll
"GB</"		sp=nmpr:sm=topo:vc=G.EBA<:gl=Geba
"GB<>/"		sp=nmpr:sm=pers:gn=m:vc=G.IB\:<@>:gl=Gibea
"GB<H/"		sp=subs:vc=G.IB\:<@H:gl=hill
"GB<H=/"	sp=nmpr:sm=topo:vc=G.IB\:<@H:gl=Gibeah
"GB<WN/"	sp=nmpr:sm=topo:vc=G.IB\:<OWN:gl=Gibeon
"GB<WNJ/"	sp=adjv:ls=gntl:vc=G.IB\:<OWNIJ:gl=Gibeonite
"GB<L/"		sp=subs:gn=m:vc=G.IB\:<OL:gl=flower-bud
"GB<T/"		sp=nmpr:sm=topo:vc=G.IB\:<AT:gl=Gibeath
"GB<TJ/"	sp=adjv:ls=gntl:vc=G.IB\:<@TIJ:gl=Gibeathite
"GBR["		sp=verb:vc=G.@BAR:gl=be superior
"GBR/"		sp=subs:fc=seg:gn=m:vc=G.EBER:gl=vigorous man
"GBR=/"		sp=nmpr:sm=pers:gn=m:vc=G.EBER:gl=Geber
"GBR==/"	sp=nmpr:sm=topo:vc=G.IB.@R:gl=Gibbar
"GBRJ>L/"	sp=nmpr:sm=pers:gn=m:vc=G.AB\:RIJ>;L:gl=Gabriel
"GBRT/"		sp=subs:fc=seg:vc=G.\:BERET:gl=lady
"GBTWN/"	sp=nmpr:sm=topo:vc=G.IB.\:TOWN:gl=Gibbethon
"GG/"		sp=subs:gn=m:rt=<uncertain>:vc=G.@G:gl=roof
"GD/"		sp=subs:gn=m:rt=<uncertain>:vc=G.AD:gl=coriander
"GD=/"		sp=subs:gn=m:rt=GDD:vc=G.AD:gl=fortune
"GD==/"		sp=nmpr:sm=pers,gens,topo:rt=GDD:vc=G.@D:gl=Gad
"GD===/"	sp=nmpr:sm=pers:rt=GDD:vc=G.AD:gl=<god of fortune>
"GDGD/"		sp=nmpr:sm=topo:vc=G.ID\:G.@D:gl=Hor Haggidgad
"GDD["		sp=verb:vc=G.@DAD:gl=gather
"GDWD/"		sp=subs:gn=m:vc=G.\:DW.D:gl=band
"GDWD=/"	sp=subs:vc=G.\:DW.D:gl=clod
"GDWDH/"	sp=subs:rt=GDD:vc=G.\:DW.D@H:gl=incision
"GDWL/"		sp=adjv:rt=GDL:vc=G.@DOWL:gl=great
"GDWLH/"	sp=subs:vc=G.\:DW.L.@H:gl=greatness
"GDWP/"		sp=subs:vc=G.ID.W.P:gl=reviling word
"GDWPH/"	sp=subs:vc=G.ID.W.P@H:gl=reviling word
"GDWR/"		sp=nmpr:sm=pers:gn=m:vc=G.\:DOWR:gl=Gedor
"GDJ/"		sp=subs:fc=seg:gn=m:vc=G.\:DIJ:gl=goat
"GDJ=/"		sp=adjv:ls=gntl:vc=G.@DIJ:gl=Gadite
"GDJ==/"	sp=nmpr:sm=pers:gn=m:vc=G.AD.IJ:gl=Gaddi
"GDJ===/"	sp=nmpr:sm=pers:gn=m:vc=G.@DIJ:gl=Gadi
"GDJ>L/"	sp=nmpr:sm=pers:gn=m:vc=G.AD.IJ>;L:gl=Gaddiel
"GDJH/"		sp=subs:vc=G.ID\:J@H:gl=bank
"GDJH=/"	sp=subs:rt=GDH:vc=G.\:DIJ.@H:gl=young goat
